"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"06/2019";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"7.886.388,48";"14.382.932,43";"11.179.636,03";"2.009.629,98";
"08/2019";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"18.976.692,69";"63.069.654,40";"50.095.152,27";"847.051,99";
"01/2019";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"361.104.972,91";"60.399.248,87";"16.452.263,56";"59.328.372,25";
"04/2019";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"17.332.978,77";"63.060.697,73";"62.260.197,48";"3.174.693,84";
"07/2019";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"221.867.423,30";"66.319.690,79";"81.777.456,40";"918.047,51";
"06/2019";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"103.252.318,70";"81.317.096,28";"61.910.849,03";"1.683.007,39";
"02/2019";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"8.436.692,97";"58.879.882,95";"59.176.152,18";"4.789.844,19";
"05/2019";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"9.184.408,96";"63.356.752,00";"65.266.855,31";"2.570.977,40";
"03/2019";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"10.512.577,87";"62.201.096,06";"60.688.639,01";"5.468.062,67";
"07/2019";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"16.047.219,57";"22.327.172,28";"28.740.445,97";"968.755,20";
"04/2019";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"39.054.044,16";"21.779.348,69";"21.703.648,62";"1.338.120,99";
"08/2019";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"24.498.307,60";"22.513.623,18";"16.018.550,85";"1.000.082,20";
"05/2019";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"3.450.779,45";"22.407.783,27";"21.930.798,78";"1.339.049,45";
"01/2019";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"35.002.189,13";"20.717.897,25";"6.461.838,41";"17.809.062,15";
"06/2019";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"52.576.703,04";"28.790.932,78";"22.559.876,75";"975.108,56";
"03/2019";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"2.990.742,08";"21.561.724,39";"21.112.957,56";"649.621,64";
"02/2019";"26000 - Ministério da Educação";"26268 - Fundação Universidade Federal de Rondônia";"31.917.961,53";"21.024.670,17";"20.345.972,21";"1.288.013,65";
"08/2019";"26000 - Ministério da Educação";"26281 - Fundação Universidade Federal de Sergipe";"45.414.367,36";"10.617.590,41";"43.291.613,80";"4.571.979,23";
